RELEASE T 0
PRESS C 123
PRESS I 223
RELEASE C 252
PRESS CAPS_LOCK 295
RELEASE I 307
PRESS E 350
RELEASE CAPS_LOCK 388
RELEASE E 397
PRESS S 480
RELEASE S 559
PRESS RIGHT_BRACKET 687
RELEASE RIGHT_BRACKET 770
MOVE 4 6 3886
MOVE 5 6 3887
MOVE 4 6 3888
MOVE 4 6 3889
MOVE 4 7 3890
MOVE 4 6 3891
MOVE 5 6 3892
MOVE 3 6 3893
MOVE 4 6 3894
MOVE 4 6 3895
MOVE 4 6 3896
MOVE 3 6 3897
MOVE 4 6 3898
MOVE 3 7 3899
MOVE 4 6 3900
MOVE 3 6 3901
MOVE 4 6 3902
MOVE 3 6 3903
MOVE 3 6 3904
MOVE 3 6 3905
MOVE 3 5 3906
MOVE 3 6 3907
MOVE 3 6 3908
MOVE 3 6 3909
MOVE 2 6 3910
MOVE 3 5 3911
MOVE 2 6 3912
MOVE 3 6 3913
MOVE 2 5 3914
MOVE 3 6 3915
MOVE 2 5 3916
MOVE 2 6 3917
MOVE 2 6 3918
MOVE 2 5 3919
MOVE 1 5 3920
MOVE 2 6 3921
MOVE 2 5 3922
MOVE 1 5 3923
MOVE 2 6 3924
MOVE 2 5 3925
MOVE 1 5 3926
MOVE 1 5 3927
MOVE 2 5 3928
MOVE 1 5 3929
MOVE 1 5 3930
MOVE 1 5 3931
MOVE 1 5 3932
MOVE 1 5 3933
MOVE 1 5 3934
MOVE 1 5 3935
MOVE 1 4 3936
MOVE 1 5 3937
MOVE 1 5 3938
MOVE 1 4 3939
MOVE 1 4 3940
MOVE 1 4 3942
MOVE 1 5 3943
MOVE 1 4 3944
MOVE 1 4 3946
MOVE 1 3 3948
MOVE 1 3 3950
MOVE 1 3 3952
MOVE 1 3 3954
MOVE 1 3 3958
MOVE 1 3 3961
MOVE 1 2 3966
MOVE 1 2 3975
MOVE -1 1 3993
MOVE -1 1 4006
MOVE 1 -1 4593
MOVE 1 -1 4659
MOVE -1 -1 4939
MOVE -1 -1 4969
MOVE -1 -1 4980
MOVE -1 -1 4990
MOVE -1 -1 5012
MOVE -1 -1 5026
MOVE -1 -1 5032
MOVE -1 -1 5044
MOVE -1 -1 5049
MOVE -1 -1 5061
MOVE -1 -1 5067
