PRESS R 0
RELEASE R 78
MOVE 9 1 11682
MOVE 9 1 11683
MOVE 8 1 11684
MOVE 9 0 11685
MOVE 9 1 11686
MOVE 10 1 11687
MOVE 9 1 11688
MOVE 9 0 11689
MOVE 9 1 11690
MOVE 10 0 11691
MOVE 9 1 11692
MOVE 10 0 11693
MOVE 9 1 11694
MOVE 11 0 11696
MOVE 9 0 11696
MOVE 10 1 11697
MOVE 9 0 11698
MOVE 10 0 11699
MOVE 10 1 11700
MOVE 10 0 11701
MOVE 10 0 11702
MOVE 10 0 11703
MOVE 10 1 11704
MOVE 10 0 11705
MOVE 11 0 11706
MOVE 10 0 11707
MOVE 10 0 11708
MOVE 10 1 11709
MOVE 10 0 11710
MOVE 10 0 11713
MOVE 10 0 11713
MOVE 10 0 11713
MOVE 10 0 11714
MOVE 10 0 11715
MOVE 10 0 11716
MOVE 10 0 11717
MOVE 10 0 11718
MOVE 10 0 11719
MOVE 9 0 11720
MOVE 10 0 11721
MOVE 9 0 11722
MOVE 10 -1 11723
MOVE 9 0 11724
MOVE 10 -1 11725
MOVE 9 0 11726
MOVE 9 -1 11727
MOVE 9 -1 11729
MOVE 10 0 11729
MOVE 9 -1 11730
MOVE 9 -1 11731
MOVE 9 -1 11732
MOVE 8 -1 11733
MOVE 9 -1 11734
MOVE 9 -1 11735
MOVE 9 -1 11736
MOVE 8 -2 11737
MOVE 8 -1 11738
MOVE 9 -1 11739
PRESS SPACEBAR 11739
MOVE 8 -1 11740
MOVE 8 -1 11741
MOVE 9 -1 11742
MOVE 8 -2 11743
MOVE 8 -1 11744
MOVE 8 -1 11746
MOVE 8 -1 11746
MOVE 7 -2 11747
MOVE 8 -1 11748
MOVE 7 -1 11749
MOVE 8 -2 11750
MOVE 7 -1 11751
MOVE 8 -1 11752
MOVE 7 -1 11753
MOVE 7 -2 11754
MOVE 7 -1 11755
MOVE 7 -1 11756
MOVE 7 -2 11757
MOVE 6 -1 11758
MOVE 7 -1 11759
MOVE 7 -2 11760
MOVE 6 -1 11761
MOVE 7 -1 11763
MOVE 6 -2 11763
MOVE 6 -1 11764
MOVE 6 -1 11765
MOVE 6 -2 11766
MOVE 6 -1 11767
MOVE 5 -1 11768
MOVE 6 -2 11769
MOVE 6 -1 11770
MOVE 5 -1 11771
MOVE 5 -2 11772
MOVE 5 -1 11773
MOVE 4 -1 11774
MOVE 5 -1 11775
MOVE 5 -1 11776
MOVE 4 -2 11777
MOVE 4 -1 11778
MOVE 4 -1 11780
MOVE 4 -1 11780
MOVE 4 -1 11781
MOVE 3 -1 11782
MOVE 3 -1 11783
MOVE 4 -1 11784
MOVE 2 -1 11785
MOVE 3 -1 11786
MOVE 3 -1 11787
MOVE 3 -1 11788
MOVE 1 -1 11789
MOVE 3 -1 11790
MOVE 1 0 11791
MOVE 1 -1 12072
MOVE 1 0 12074
MOVE 0 -1 12075
MOVE 1 0 12076
MOVE 1 -1 12078
MOVE 1 0 12080
MOVE 1 -1 12081
MOVE 1 0 12083
MOVE 1 0 12085
MOVE 1 -1 12086
MOVE 1 0 12088
MOVE 1 0 12090
MOVE 1 0 12091
MOVE 1 0 12093
MOVE 1 0 12094
MOVE 1 -1 12096
MOVE 1 0 12097
MOVE 1 0 12099
MOVE 1 0 12101
MOVE 1 0 12105
MOVE 0 1 12107
MOVE 1 0 12108
MOVE 0 1 12109
MOVE 1 1 12113
MOVE 0 1 12114
MOVE 1 0 12116
MOVE 0 1 12117
MOVE 0 1 12120
MOVE 1 0 12121
MOVE 0 1 12123
MOVE 1 0 12125
MOVE 0 1 12126
MOVE 1 0 12128
MOVE 0 1 12130
MOVE 1 0 12133
MOVE 0 1 12134
MOVE 1 0 12136
MOVE 1 0 12138
MOVE 0 1 12139
MOVE 1 0 12141
MOVE 1 1 12144
MOVE 1 0 12147
MOVE 1 1 12150
MOVE 0 1 12155
MOVE 0 1 12161
MOVE 1 0 12162
MOVE 0 1 12165
MOVE 1 1 12168
MOVE 1 1 12172
MOVE 1 1 12175
MOVE 1 0 12178
MOVE 0 1 12179
MOVE 1 0 12181
MOVE 1 1 12183
MOVE 1 1 12186
MOVE 1 0 12187
MOVE 1 0 12189
MOVE 0 1 12190
MOVE 1 0 12191
MOVE 0 1 12193
MOVE 1 0 12194
MOVE 1 0 12195
MOVE 1 1 12198
MOVE 1 0 12199
MOVE 1 0 12201
MOVE 0 1 12202
MOVE 1 0 12203
MOVE 1 0 12205
MOVE 1 0 12207
MOVE 1 1 12208
MOVE 1 0 12210
MOVE 1 0 12212
MOVE 1 1 12213
MOVE 1 0 12215
MOVE 1 0 12217
MOVE 1 0 12218
MOVE 0 1 12219
MOVE 1 0 12220
MOVE 1 0 12221
MOVE 1 0 12223
MOVE 1 1 12225
MOVE 1 0 12226
MOVE 1 0 12228
MOVE 1 0 12230
MOVE 1 1 12232
MOVE 1 0 12233
MOVE 1 0 12235
MOVE 1 0 12236
MOVE 1 0 12238
MOVE 1 0 12239
MOVE 1 0 12241
MOVE 0 1 12242
MOVE 1 0 12243
MOVE 1 0 12244
MOVE 1 0 12246
MOVE 1 0 12247
MOVE 1 0 12248
MOVE 1 0 12250
MOVE 0 1 12251
MOVE 1 0 12252
MOVE 1 0 12253
MOVE 1 0 12254
MOVE 1 0 12255
MOVE 1 0 12257
MOVE 1 0 12259
MOVE 1 1 12260
MOVE 1 0 12261
MOVE 1 0 12262
MOVE 1 0 12264
MOVE 1 0 12265
MOVE 1 0 12266
MOVE 1 1 12267
MOVE 1 0 12268
MOVE 1 0 12269
MOVE 1 0 12271
MOVE 1 0 12272
MOVE 1 0 12273
MOVE 1 1 12274
MOVE 1 0 12275
MOVE 1 0 12276
MOVE 1 0 12277
MOVE 1 0 12278
MOVE 1 0 12280
MOVE 1 0 12281
MOVE 1 1 12282
MOVE 1 0 12283
MOVE 1 0 12284
MOVE 1 0 12286
MOVE 1 1 12287
MOVE 1 0 12288
MOVE 1 0 12290
MOVE 1 0 12292
MOVE 1 0 12294
MOVE 1 0 12296
MOVE 1 1 12298
MOVE 1 0 12300
MOVE 1 0 12303
MOVE 1 0 12308
MOVE 1 0 12320
MOVE 0 1 12401
MOVE 1 0 12413
MOUSE LEFT_DOWN 12466
